History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
10.09.2026 15:34:37,10.09.2026 15:35:34,XAUUSD.P,Sell,15.00,4340.78000,4311.44000,4341.44000,4340.78000,66.0,885.00,00:00:00:57,0.38%
08.09.2026 21:49:24,08.09.2026 21:49:51,XAUUSD.P,Sell,15.00,4364.59000,4335.67000,4365.67000,4364.59000,108.0,1515.00,00:00:00:27,0.66%
08.09.2026 19:09:59,08.09.2026 19:22:25,XAUUSD.P,Sell,15.00,4391.30000,4351.30000,4381.30000,4391.30000,-1000.0,-15105.00,00:00:12:26,-6.18%
01.09.2026 22:39:54,02.09.2026 02:38:24,XAUUSD.P,Sell,15.00,4334.79000,4294.79000,4324.79000,4334.79000,-1000.0,-14614.95,00:03:58:30,-5.64%
01.09.2026 11:09:51,01.09.2026 11:10:16,XAUUSD.P,Sell,15.00,4391.78000,4366.62000,4396.62000,4391.78000,484.0,7155.00,00:00:00:25,2.84%
26.08.2026 16:16:01,26.08.2026 16:16:04,XAUUSD.P,Sell,15.00,4601.06000,4575.49000,4605.49000,4601.06000,443.0,6540.00,00:00:00:03,2.67%
20.08.2026 18:01:28,20.08.2026 18:02:41,XAUUSD.P,Buy,15.00,4534.11000,4557.28000,4527.28000,4534.11000,683.0,10140.00,00:00:01:13,4.31%
19.08.2026 15:56:33,19.08.2026 15:56:36,XAUUSD.P,Buy,15.00,4438.13000,4466.05000,4436.05000,4438.13000,208.0,3015.00,00:00:00:03,1.30%
12.08.2026 15:43:02,12.08.2026 15:43:30,XAUUSD.P,Buy,15.00,4435.69000,4465.09000,4435.09000,4435.69000,60.0,795.00,00:00:00:28,0.34%
10.08.2026 21:31:23,10.08.2026 21:31:27,XAUUSD.P,Buy,15.00,4375.80000,4401.76000,4371.76000,4375.80000,404.0,5955.00,00:00:00:04,2.64%
07.08.2026 11:33:52,07.08.2026 11:33:58,XAUUSD.P,Buy,15.00,4311.86000,4334.00000,4304.00000,4311.86000,786.0,11685.00,00:00:00:06,5.47%
05.08.2026 14:28:47,05.08.2026 14:38:05,XAUUSD.P,Buy,15.00,4185.70000,4210.32000,4180.32000,4185.70000,538.0,7965.00,00:00:09:18,3.87%
05.08.2026 08:46:53,05.08.2026 08:47:03,XAUUSD.P,Buy,15.00,4169.38000,4195.91000,4165.91000,4169.38000,347.0,5100.00,00:00:00:10,2.54%
05.08.2026 05:37:54,05.08.2026 05:40:21,XAUUSD.P,Buy,15.00,4122.37000,4150.03000,4120.03000,4122.37000,234.0,3405.00,00:00:02:27,1.73%
03.08.2026 16:38:10,03.08.2026 16:41:44,XAUUSD.P,Sell,15.00,4031.19000,3991.19000,4021.19000,4031.19000,-1000.0,-15105.00,00:00:03:34,-7.11%
30.07.2026 17:00:29,30.07.2026 17:00:40,XAUUSD.P,Buy,15.00,4117.22000,4146.27000,4116.27000,4117.22000,95.0,1320.00,00:00:00:11,0.63%
29.07.2026 22:01:50,29.07.2026 22:04:00,XAUUSD.P,Buy,15.00,4105.99000,4145.99000,4115.99000,4105.99000,-1000.0,-15105.00,00:00:02:10,-6.68%
28.07.2026 12:57:44,28.07.2026 12:58:36,XAUUSD.P,Sell,15.00,4021.64000,3992.15000,4022.15000,4021.64000,51.0,660.00,00:00:00:52,0.29%
22.07.2026 04:00:07,22.07.2026 04:00:17,XAUUSD.P,Buy,15.00,4103.99000,4133.12000,4103.12000,4103.99000,87.0,1200.00,00:00:00:10,0.53%
21.07.2026 09:48:40,21.07.2026 09:50:05,XAUUSD.P,Buy,15.00,4082.19000,4111.10000,4081.10000,4082.19000,109.0,1530.00,00:00:01:25,0.69%
17.07.2026 15:43:03,17.07.2026 15:43:09,XAUUSD.P,Sell,15.00,3968.01000,3939.43000,3969.43000,3968.01000,142.0,2025.00,00:00:00:06,0.92%
16.07.2026 16:02:39,16.07.2026 16:02:44,XAUUSD.P,Sell,15.00,3980.74000,3953.68000,3983.68000,3980.74000,294.0,4305.00,00:00:00:05,1.99%
13.07.2026 17:16:45,13.07.2026 17:16:54,XAUUSD.P,Sell,15.00,4013.13000,3991.95000,4021.95000,4013.13000,882.0,13125.00,00:00:00:09,6.45%
02.07.2026 15:30:42,02.07.2026 15:30:43,XAUUSD.P,Buy,15.00,4117.33000,4145.43000,4115.43000,4117.33000,190.0,2745.00,00:00:00:01,1.37%
01.07.2026 16:38:57,01.07.2026 16:39:00,XAUUSD.P,Buy,15.00,4064.94000,4093.27000,4063.27000,4064.94000,167.0,2400.00,00:00:00:03,1.21%
30.06.2026 04:07:11,30.06.2026 04:07:13,XAUUSD.P,Sell,13.00,3957.08000,3929.32000,3959.32000,3957.08000,224.0,2821.00,00:00:00:02,1.44%
24.06.2026 15:25:03,24.06.2026 15:25:06,XAUUSD.P,Sell,13.00,4018.26000,3993.97000,4023.97000,4018.26000,571.0,7332.00,00:00:00:03,3.90%
23.06.2026 07:59:06,23.06.2026 07:59:13,XAUUSD.P,Sell,13.00,4116.92000,4091.92000,4121.92000,4116.92000,500.0,6409.00,00:00:00:07,3.53%
18.06.2026 19:36:03,18.06.2026 19:36:06,XAUUSD.P,Sell,13.00,4217.15000,4189.23000,4219.23000,4217.15000,208.0,2613.00,00:00:00:03,1.46%
17.06.2026 20:33:36,17.06.2026 20:33:42,XAUUSD.P,Buy,13.00,4377.03000,4399.10000,4369.10000,4377.03000,793.0,10218.00,00:00:00:06,5.71%
17.06.2026 17:24:07,17.06.2026 17:24:37,XAUUSD.P,Buy,13.00,4360.27000,4384.85000,4354.85000,4360.27000,542.0,6955.00,00:00:00:30,4.30%
15.06.2026 16:32:08,15.06.2026 16:39:28,XAUUSD.P,Buy,13.00,4364.86000,4393.24000,4363.24000,4364.86000,162.0,2015.00,00:00:07:20,1.26%
09.06.2026 18:31:49,09.06.2026 18:32:02,XAUUSD.P,Sell,13.00,4265.94000,4238.75000,4268.75000,4265.94000,281.0,3562.00,00:00:00:13,2.28%
05.06.2026 16:59:55,05.06.2026 17:02:15,XAUUSD.P,Sell,13.00,4376.60000,4336.60000,4366.60000,4376.60000,-1000.0,-13091.00,00:00:02:20,-7.73%
03.06.2026 11:51:48,03.06.2026 11:51:50,XAUUSD.P,Sell,13.00,4445.53000,4417.92000,4447.92000,4445.53000,239.0,3016.00,00:00:00:02,1.81%
27.05.2026 13:46:26,27.05.2026 13:46:32,XAUUSD.P,Sell,10.00,4453.10000,4423.82000,4453.82000,4453.10000,72.0,650.00,00:00:00:06,0.39%
26.05.2026 20:56:14,26.05.2026 21:00:20,XAUUSD.P,Sell,10.00,4491.49000,4462.14000,4492.14000,4491.49000,65.0,580.00,00:00:04:06,0.35%
20.05.2026 11:36:01,20.05.2026 11:43:43,GBPUSD.P,Buy,0.10,0.00000,0.00000,1.33808,1.33874,6.6,5.90,00:00:07:42,0.00%
20.05.2026 11:35:54,20.05.2026 11:43:41,EURUSD.P,Buy,0.10,0.00000,0.00000,1.15884,1.15928,4.4,3.70,00:00:07:47,0.00%
